Geographies,Categories,Consumer Expenditure by Income,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Indonesia,Consumer Expenditure on Household Goods and Services,Decile 5 - US$ million,536.4,678.3,840.6,975.1,984.2,1241,1400.5,1466.9,1463.4,1425.2,1376.1,1434.1
Indonesia,Consumer Expenditure on Household Goods and Services,Decile 6 - US$ million,619.6,773.4,970.1,1121.2,1141.9,1446,1654.4,1732.5,1730.8,1691.5,1634.3,1704.4
Indonesia,Consumer Expenditure on Household Goods and Services,Decile 7 - US$ million,714.3,880.2,1117.5,1286.7,1322.3,1681.5,1950.5,2042.3,2043,2003.3,1936.8,2021.3
Indonesia,Consumer Expenditure on Household Goods and Services,Decile 8 - US$ million,832.5,1011.3,1301.2,1492.1,1548.6,1978.4,2329.8,2438.8,2443,2404.3,2325.7,2429
Indonesia,Consumer Expenditure on Household Goods and Services,Decile 9 - US$ million,1005.6,1199.6,1569.9,1790.8,1882.1,2418.6,2903.5,3038.1,3048.1,3013.3,2916.2,3048.7
Indonesia,Consumer Expenditure on Household Goods and Services,Decile 10 - US$ million,1483.3,1697.3,2310,2602.3,2815.1,3667.7,4606.1,4812.7,4843.9,4835.3,4680.7,4904.7
Indonesia,Consumer Expenditure on Household Goods and Services,Total - US$ million,6479.3,7933.3,10131.8,11640.9,12025.2,15336,17991.3,18827.4,18846.1,18528.2,17909.2,18702.7
Indonesia,Consumer Expenditure on Household Goods and Services,Decile 1 - US$ per household,28.1,38.8,43,50.7,47,56.6,56.5,58.4,56.8,53.1,50.2,51.4
Indonesia,Consumer Expenditure on Household Goods and Services,Decile 2 - US$ per household,50.9,66.9,77.8,90.4,86.7,106,111.5,115.2,112.7,106.7,101.4,104.1
Indonesia,Consumer Expenditure on Household Goods and Services,Decile 3 - US$ per household,66.4,85.3,101.3,116.9,113.9,140.4,151.3,156.4,153.4,146.2,139.1,143
Indonesia,Consumer Expenditure on Household Goods and Services,Decile 4 - US$ per household,80.3,101.4,122.3,140.5,138.6,171.6,188.3,194.6,191.3,183.2,174.5,179.5
Indonesia,Consumer Expenditure on Household Goods and Services,Decile 5 - US$ per household,94,117.1,143.1,163.7,163.1,202.9,225.9,233.5,229.9,221,210.7,216.9
Indonesia,Consumer Expenditure on Household Goods and Services,Decile 6 - US$ per household,108.6,133.6,165.2,188.3,189.2,236.4,266.9,275.8,271.9,262.2,250.2,257.8
Indonesia,Consumer Expenditure on Household Goods and Services,Decile 7 - US$ per household,125.2,152,190.3,216.1,219.1,274.9,314.7,325.1,320.9,310.6,296.5,305.7
Indonesia,Consumer Expenditure on Household Goods and Services,Decile 8 - US$ per household,145.9,174.6,221.5,250.6,256.6,323.5,375.9,388.2,383.7,372.8,356.1,367.4
Indonesia,Consumer Expenditure on Household Goods and Services,Decile 9 - US$ per household,176.3,207.2,267.3,300.7,311.8,395.4,468.4,483.6,478.8,467.2,446.5,461.1
Indonesia,Consumer Expenditure on Household Goods and Services,Decile 10 - US$ per household,260,293.1,393.3,437,466.4,599.6,743.1,766.1,760.8,749.7,716.6,741.8
Indonesia,Consumer Expenditure on Household Goods and Services,Total - US$ per household,113.6,137,172.5,195.5,199.2,250.7,290.2,299.7,296,287.3,274.2,282.9
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Decile 1 - US$ million,116.5,170.7,183.3,195.6,200,248.3,231.8,257.3,259.3,245.2,240.4,252
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Decile 2 - US$ million,213.9,300.7,336.3,354.4,373.5,470.7,459.2,510.1,516.8,494.3,486.4,511.4
